"Refs","Value","Footprint","Qty","DNP"
"R_RGB_FB_BOT1","100k","Keyboard:R_0603","1",""
"R_RGB_FB_TOP1","732k","Keyboard:R_0603","1",""
"SW1","MX","Keyboard:MX_Hotswap_1u","1",""
"SW3","MX","Keyboard:MX_Hotswap_1u","1",""
"SW4","MX","Keyboard:MX_Hotswap_1u","1",""
"SW7","MX","Keyboard:MX_Hotswap_1u","1",""
"SW8","MX","Keyboard:MX_Hotswap_1u","1",""
"SW11","MX","Keyboard:MX_Hotswap_1u","1",""
"SW13","MX","Keyboard:MX_Hotswap_1u","1",""
"SW15","MX","Keyboard:MX_Hotswap_1u","1",""
"SW16","MX","Keyboard:MX_Hotswap_1u","1",""
"SW19","MX","Keyboard:MX_Hotswap_1u","1",""
"SW20","MX","Keyboard:MX_Hotswap_1u","1",""
"SW23","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW25","MX","Keyboard:MX_Hotswap_1u","1",""
"SW26","MX","Keyboard:MX_Hotswap_1u","1",""
"SW29","MX","Keyboard:MX_Hotswap_1u","1",""
"SW30","MX","Keyboard:MX_Hotswap_1u","1",""
"SW33","MX","Keyboard:MX_Hotswap_1u","1",""
"SW34","MX","Keyboard:MX_Hotswap_1u","1",""
"SW37","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW40","MX","Keyboard:MX_Hotswap_1u","1",""
"SW41","MX","Keyboard:MX_Hotswap_1u","1",""
"SW43","MX","Keyboard:MX_Hotswap_1u","1",""
"SW44","MX","Keyboard:MX_Hotswap_1u","1",""
"SW47","MX","Keyboard:MX_Hotswap_1u","1",""
"SW48","MX","Keyboard:MX_Hotswap_1u","1",""
"SW51","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW53","MX","Keyboard:MX_Hotswap_1.25u","1",""
"SW54","MX","Keyboard:MX_Hotswap_1.5u","1",""
"SW55","MX","Keyboard:MX_Hotswap_1.75u","1",""
"SW58","MX","Keyboard:MX_Hotswap_1.5u","1",""
"SW59","MX","Keyboard:MX_Hotswap_2.25u","1",""
"SWP1","MSK-12C02 slide switch","Keyboard:PowerSwitch_MSK12C02","1",""
"U1","XIAO nRF52840 Plus (SMD)","Keyboard:XIAO_NRF52840_PLUS","1",""
"U_LS1","SN74AHCT1G125","Keyboard:SN74AHCT1G125","1",""
"U_RGB1","TPS61023","Keyboard:TPS61023","1",""
